Secundária,SP,Cupania oblongifolia,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Secundária Tardia,SP,Euterpe edulis,Floresta Ombrófila Densa Montana,"BARRETTO, E.H.P; CATHARINO, E.L.M. Florestas maduras da região metropolitana de São Paulo: diversidade, composição arbórea e variação florística ao longo de um gradiente litoral-interior, Estado de São Paulo, Brasil. Hoehnea, v.42, n.3, 2015, p.445-469."
Climácica,SC,Euterpe edulis,Floresta Ombrófila Densa Montana,"BOSA, D. et al. Florística e estrutura do componente arbóreo de uma floresta ombrófila densa montana em Santa Catarina, Brasil. Revista Árvore, v. 39, n. 1, p. 49-58, 2015."
Secundária,SP,Euterpe edulis,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Secundária Tardia,RJ,Euterpe edulis,Floresta Ombrófila Densa de Terras Baixas,"RIBEIRO, J.C.T. Efeitos do enriquecimento de nutrientes no solo na comunidade arbórea de fragmentos florestais em área agrícola. 2016. 59f. Dissertação (Mestrado em Ciências Ambientais e Florestais) - Universidade Federal Rural do Rio de Janeiro, Campus Seropédica, RJ, 2016."
Secundária Tardia,SP,Guapira opposita,Floresta Ombrófila Densa Montana,"BARRETTO, E.H.P; CATHARINO, E.L.M. Florestas maduras da região metropolitana de São Paulo: diversidade, composição arbórea e variação florística ao longo de um gradiente litoral-interior, Estado de São Paulo, Brasil. Hoehnea, v.42, n.3, 2015, p.445-469"
Secundária Tardia,SP,Guapira opposita,Floresta Ombrófila Densa Montana,"ALVES, L. F.; METZGER, J. P. A regeneração florestal em áreas de floresta secundária na Reserva Florestal do Morro Grande, Cotia, SP. Biota Neotropica, Campinas , v. 6, n. 2, 2006."
Secundária Inicial,RJ,Guapira opposita,Floresta Ombrófila Densa de Terras Baixas,"RIBEIRO, J.C.T. Efeitos do enriquecimento de nutrientes no solo na comunidade arbórea de fragmentos florestais em área agrícola. 2016. 59f. Dissertação (Mestrado em Ciências Ambientais e Florestais) - Universidade Federal Rural do Rio de Janeiro, Campus Seropédica, RJ, 2016."
Secundária,SP,Guarea macrophylla,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Secundária Tardia,RJ,Guarea macrophylla,Floresta Ombrófila Densa de Terras Baixas,"RIBEIRO, J.C.T. Efeitos do enriquecimento de nutrientes no solo na comunidade arbórea de fragmentos florestais em área agrícola. 2016. 59f. Dissertação (Mestrado em Ciências Ambientais e Florestais) - Universidade Federal Rural do Rio de Janeiro, Campus Seropédica, RJ, 2016."
Secundária Tardia,PR,Matayba elaeagnoides,Floresta Ombrófila Mista,"PARIZOTTO, A. et al. Florística e diversidade da regeneração natural em clareiras em Floresta Ombrófila Mista. Pesquisa Florestal Brasileira, v. 39, 2019."
Climácica,SC,Mollinedia schottiana,Floresta Ombrófila Densa Montana,"BOSA, D. et al. Florística e estrutura do componente arbóreo de uma floresta ombrófila densa montana em Santa Catarina, Brasil. Revista Árvore, v. 39, n. 1, p. 49-58, 2015."
Secundária Tardia,SP,Mollinedia uleana,Floresta Ombrófila Densa Montana,"ALVES, L. F.; METZGER, J. P. A regeneração florestal em áreas de floresta secundária na Reserva Florestal do Morro Grande, Cotia, SP. Biota Neotropica, Campinas , v. 6, n. 2, 2006."
Secundária,SP,Myrsine umbellata,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Secundária Tardia,SC,Myrcia tijucensis,Floresta Ombrófila Densa Montana,"BOSA, D. et al. Florística e estrutura do componente arbóreo de uma floresta ombrófila densa montana em Santa Catarina, Brasil. Revista Árvore, v. 39, n. 1, p. 49-58, 2015."
Secundária Tardia,RJ,Myrcia tijucensis,Floresta Ombrófila Densa de Terras Baixas,"RIBEIRO, J.C.T. Efeitos do enriquecimento de nutrientes no solo na comunidade arbórea de fragmentos florestais em área agrícola. 2016. 59f. Dissertação (Mestrado em Ciências Ambientais e Florestais) - Universidade Federal Rural do Rio de Janeiro, Campus Seropédica, RJ, 2016."
Secundária Tardia,SP,Myrciaria floribunda,Floresta Ombrófila Densa Montana,"ALVES, L. F.; METZGER, J. P. A regeneração florestal em áreas de floresta secundária na Reserva Florestal do Morro Grande, Cotia, SP. Biota Neotropica, Campinas , v. 6, n. 2, 2006."
Secundária Inicial,SC,Prunus myrtifolia,Floresta Ombrófila Densa Montana,"BOSA, D. et al. Florística e estrutura do componente arbóreo de uma floresta ombrófila densa montana em Santa Catarina, Brasil. Revista Árvore, v. 39, n. 1, p. 49-58, 2015."
Secundária Tardia,SP,Prunus myrtifolia,Floresta Ombrófila Densa Montana,"ALVES, L. F.; METZGER, J. P. A regeneração florestal em áreas de floresta secundária na Reserva Florestal do Morro Grande, Cotia, SP. Biota Neotropica, Campinas , v. 6, n. 2, 2006."
Secundária,SP,Prunus myrtifolia,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Secundária Tardia,PR,Prunus myrtifolia,Floresta Ombrófila Mista,"PARIZOTTO, A. et al. Florística e diversidade da regeneração natural em clareiras em Floresta Ombrófila Mista. Pesquisa Florestal Brasileira, v. 39, 2019."
Secundária Tardia,SP,Psychotria suterella,Floresta Ombrófila Densa Montana,"BARRETTO, E.H.P; CATHARINO, E.L.M. Florestas maduras da região metropolitana de São Paulo: diversidade, composição arbórea e variação florística ao longo de um gradiente litoral-interior, Estado de São Paulo, Brasil. Hoehnea, v.42, n.3, 2015, p.445-469."
Secundária Tardia,SC,Psychotria suterella,Floresta Ombrófila Densa Montana,"BOSA, D. et al. Florística e estrutura do componente arbóreo de uma floresta ombrófila densa montana em Santa Catarina, Brasil. Revista Árvore, v. 39, n. 1, p. 49-58, 2015."
Secundária Tardia,SP,Psychotria suterella,Floresta Ombrófila Densa Montana,"ALVES, L. F.; METZGER, J. P. A regeneração florestal em áreas de floresta secundária na Reserva Florestal do Morro Grande, Cotia, SP. Biota Neotropica, Campinas , v. 6, n. 2, 2006."
Umbrófila,SP,Psychotria suterella,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
Umbrófila,SP,Sloanea hirsuta,Floresta Ombrófila Densa Montana,"SOUZA, S.C.P.M. de et al. A vegetação secundária em um fragmento florestal urbano: influência de exóticas invasoras na comunidade vegetal. Rev. Inst. Florestal. v. 28, n. 1, p. 7-35 jun. 2016."
U,SP,Justicia carnea,Floresta Ombrófila Densa Montana,"ARZOLLA, F.A.R.D.P. et al. Regeneração natural em clareiras de origem antrópica na Serra da Cantareira. Rev. Inst. Florestal, v. 22, n.1, 2010, p. 155-169."
SI,SP,Schinus terebinthifolius,Floresta Ombrófila Densa Montana,"ARZOLLA, F.A.R.D.P. et al. Regeneração natural em clareiras de origem antrópica na Serra da Cantareira. Rev. Inst. Florestal, v. 22, n.1, 2010, p. 155-169."
